text,label,label_name,source
"As provided in Article 141 of the constitution of India, all courts within the territory of India have a law declared binding under the Hon’ble Supreme Court and all pending proceedings have a law established by the Hon’ble Supreme Court. When the above-mentioned decision of the Hon’ble Supreme Court has been examined, there is no sign that it will apply in the future, and no prospective operation of the law established by the Hon’ble Supreme Court is the same. The case of Mayor Genl. A.S. Gauraya and Another – versus- S.N. Thakur, was referred to in this respect by Justice Anubha Rawat of the Jharkhand High Court in the matter of August Kumar Mehta versus State of Jharkhand [Cr. Rev. No. 1081 of 2013]. This order was passed for the facts that the learned counsel appearing at the beginning submitted that the petitioner was found to be unconstitutional in the case Joseph Shine – versus- Union of India on 27 September 2013, (2019) 3 SCC 39 and therefore once the Section itself was ultra vires, it was convicted of a conviction in accordance with the terms of Section 497 of the Indian Penal Code. The petitioner was found unconstitutional in that case. Learned counsel for the petitioner also referred to the judgement passed by the Hon’ble Bombay High Court in the case of Rupesh -versus- Shri Charandas , 2018 SCC OnLine Bombay 6292 wherein the Judgment of the Hon’ble Supreme Court passed in the case of Joseph Shine (Supra) has been followed and the conviction and sentence under Section 497 of the Indian Penal Code has been set aside under revisional jurisdiction. Learned counsel appearing on behalf of the State, on the other hand, objected to the prayer and argued that both the following learned courts had recorded concurrent findings of facts, which is why in this case no interference is required under review. However, in the event of Joseph Shine versus the Union of India the Hon’ble Supreme Court has made Section 497 of the Indian Penal Code unconstitutional. After hearing the learned counsel for the parties and going through the impugned judgments and the lower court records of the case the Court has concluded that this proceeding has been based on a written report of 06/01/2001 lodged with the Information Man, namely that Arun Kumar Mehta (PW-8) has alleged inter alia that the Informant’s wife Nirmala Devi, who",2,Constitutional Law,ilc
The Labour Commissioner acted as a conciliator to resolve the deadlock in the wage negotiations.,6,Labour & Employment Law,original
"No law or religion gives a license to a father to harass or intimidate his major daughter just because she does not accede to wishes of her father to marry a particular person. It is not open to a father or relatives of a girl to take law into their own hands as stated by the Hon’ble High Court of J&amp;K and Ladakh through a learned bench of Hon’ble Mr. Justice Sanjay Dhar in the case of Anjum Afshan &amp; Ors. Vs. State Of J&amp;K &amp; Ors [OWP No.83/2019 (WP(C) No.203/2019]. Petitioners filed the writ petition seeking a direction upon respondents to ensure safety of their life and honour. A further direction asked the official respondents to proceed against the private respondents in accordance with law. The case of the petitioners, in brief, was that the petitioner No.1 entered into wedlock with petitioner No.2 out of her free will and volition against the wishes of her father i.e., respondent No.7. According to petitioner, respondent No.7, father of the petitioner No.1, is a person of ill repute who has entered into wedlock four times and has divorced the mother of petitioner No.1. It was further averred that the respondent No.7 wanted to give petitioner No.1 in marriage to an illiterate truck driver and the same was resisted by petitioner No.1 who is stated to have lodged a complaint with Women’s Commission in this regard. The petitioners were stated to have approached this Court by way of several writ petitions including OWP No.1064/2017 and OWP No.546/2016, which are pending before this Court. It is alleged that private respondents i.e., respondents No.6 to 9, invaded the house of the petitioners and raised a hue and cry over there and in case petitioners are not protected from the said respondents, they apprehend that they will be killed. The Hon’ble High Court after have heard learned counsel for parties and perused the material on record, stated that “It is not in dispute that the petitioners No.1 and 2 are major and it is also not in dispute that they have entered into a wedlock out of their own will and volition. The question whether learned Sub Judge, Sopore, was justified in passing an order of restraint on marriage of petitioner No.1 is left to be decided in appropriate proceedings. However, one thing is clear that even if petitioner No.1 has violated the said order, it",5,Family Law,ilc
The right of a Muslim wife to seek divorce is provided under the Dissolution of Muslim Marriages Act.,5,Family Law,original
The jury was instructed to disregard the inflammatory remarks made by the witness during cross-examination.,1,Criminal Law,original
A security deposit is held by the landlord to cover potential damages beyond normal wear and tear.,4,Property / Real Estate Law,original
"A fashion designer sued a prominent textile mill for pirating her registered textile designs. The defendant argued that the designs lacked novelty as they were traditional Indian paisley motifs commonly used in ethnic wear for centuries. The High Court agreed with the defendant and cancelled the design registration, emphasizing that the Designs Act 2000 does not protect traditional knowledge or common motifs that lack any original creative input or significant aesthetic modification by the registrant.",7,Intellectual Property Law,synthetic
"The letter to the builder must contain the name, address and contact details of the buyer. It should clearly mention how your rights have been infringed due to the delay caused by the builder in handing over the possession and the relief that you seek from the builder (such as handing over the possession of the property at the earliest or compensation along with possession). The letter should also contain a direction of the relief sought and the time limit for the completion of such relief. The buyer shall also make an implication about any legal actions that can be taken if the builder is not able to deliver the possession of the property within the stipulated time.",4,Property / Real Estate Law,pdf
"Even if Section 26-E was effective only prospectively from 24th January 2020 and not applicable to the facts at hand, that would not make any difference; as according to us Section 31-B of the RDB Act itself would be sufficient to give priority to a secured creditor over the Respondent’s charge for claiming tax dues. This judgment was pronounced by the division bench comprising Hon’ble Justice Ujjal Bhuyan and Justice Abhay Ahuja in the matter of State Bank of India v. The State of Maharashtra and Ors. [WP No. 92816 of 2020]. By this petition which is filed under Article 226 of the Constitution of the India 1950, Petitioner is challenging the attachment of Plot No. W-7 in Gokul Shirgoan Industrial Area in Kolhapur under the provisions of Section 32 of the Maharashtra Value Added Tax Act, 2002 and proceedings under the Maharashtra Land Revenue Code. The admitted facts of the case are: On the request of Respondent No. 3, the petitioner had sanctioned various credit facilities in his favour by way of sanctioned letters of arrangements. To avail the sanctioned credit facilities, Respondent No.3 from time to time executed in favour of the Petitioner various security documents including security by way of mortgage/charge over, inter-alia, the said property being the piece and parcel of land. To evidence the said mortgage/charge, necessary documents for the creation of an equitable mortgage commencing from 13th January 2014 were executed. Respondent No.3 failed to regularly maintain their loan accounts with Petitioner and the Petitioner initiated proceedings under the Recovery of Debts and Bankruptcy Act, 1993. The Hon’ble High Court while deciding upon the matter stated that “from a plain and conjoint reading of Section 31-B of the RDB Act and Section 25-E of the SARFAESI Act it is clear that by virtue of the non-obstante language contained therein, the rights of secured creditors to realize secured debts by the sale of assets over which security interest is created, shall have priority over Government dues including revenues, taxes, cesses and rates due to the Central/State Government or to the Local Authority.” The court held that “We therefore quash and set aside the attachment /charge on the said Plot No. W-7 under Section 32 of the MVAT Act as well as notices issued in relation thereto by Respondent No.2. We therefore quash and set aside the attachment /charge on the said Plot No. W-7 under",8,Taxation Law,ilc
"Counsel for the Petitioner preferred restoration of the petition dated 17th May 2017 under Section 117 of the BSF Act, challenging his dismissal order dated 04th March 2017. Considering the Petitioner’s past conduct and the offences committed by him the petition is dismissed by the High Court of Delhi through the learned HON’BLE MR. JUSTICE MANMOHAN &amp; HON’BLE MR. JUSTICE NAVIN CHAWLA in the case of EX (CON) CHANDAN KUMAR SHARMA vs Union of India (W.P.(C) 1061/2020) on 24 of February, 2022. Facts of the case are that the petitioner has filed present application seeking restoration of W.P.(C)1061/2022, which had been dismissed in default and on account of non-prosecution. Learned counsel for the petitioner states that the counsel was unwell and thus could not appear on the last date of hearing i.e. on 17th January, 2022 and it was neither intentional nor deliberate. Learned counsel for the Petitioner states that two charges were framed against the Petitioner as per the charge sheet dated 12th May 2016 i.e. using threatening language with his superior officer and violating the good order and discipline of the force. He states that SSFC (Summary Security Force Court) conducted the proceedings against the Petitioner and was found guilty of both the charges and consequently dismissed from service. Learned counsel for the Petitioner emphasises that the Petitioner has no criminal records and since the Petitioner was the best cadet of his unit, many persons are inimical to him. He also states that at the time of incident, the Petitioner was slightly disturbed as his wife was unwell. A perusal of the record reveals that the Petitioner was a habitual offender who had been punished seven times in the past and given warning twice for using threatening and insubordinate language with his superiors. In the counter affidavit, it has also been stated that the Petitioner was in the habit of overstaying his leave. After looking the Petitioner’s past conduct and the offences committed by him, the honourable Court is of the view that the punishment awarded to the Petitioner is commensurate with the gravity of the offences and calls for no interference in writ jurisdiction. Accordingly, the present writ petition is dismissed.",6,Labour & Employment Law,ilc
"The limitation of liability clause excludes consequential, incidental, or indirect damages.",0,Contract Law,original
"The relevant regulations governing these types of structures, inter alia, provides that the manager shall undertake the management of assets, including their supplies of these structures. Primarily, the manager is responsible for the operation and management of these structures. Thus, the fund manager of these structures is likely to have the ability to signiﬁcantly inﬂuence policies and practices relating to the goods and services supplied by these structures. Therefore, for the purposes of a combination involving the manager of these structures or person(s) controlling such manager, the supplies of these structures should be attributed to the manager or such controlling persons. (For reference, please see order dated 24th February 2021 issued under Section 31(1) of the Act in C- 2020/12/794 at https://www.cci.gov.in/combination/order/details/order/178/0)",3,Corporate / Company Law,milpac_cci
The bill of attainder was struck down as it sought to punish individuals without a judicial trial.,2,Constitutional Law,original
"The number of members to be included in the Conﬁdentiality Ring depends upon the complexity and nature of the case. Ordinarily, the Commission allows each party to propose six members to be included in the Conﬁdentiality Ring.",3,Corporate / Company Law,milpac_cci
"Moral rights are the author's right of paternity and integrity over his work. The right of paternity gives the author the right to claim authorship of the work. While the right to integrity entitles the author to object to any mutilation and infringement of his work, which causes damage to the author’s reputation.The moral rights are independent of the author’s copyright and remain with him even after assignment of the Copyright. (See Sec. 57 of the Copyright Act, 1957).",7,Intellectual Property Law,milpac_ip
"No right, title or entitlement shall be awarded to those individuals who are merely in possession of the land and do not own the same. Those individuals shall be considered ranked encroachers and shall be levied non-agricultural tax as well as penalty for the land that does not belong to them. A single-judge bench comprising of Justice Milind N Jadhav, while adjudicating the matter in Ramesh R Pandey &amp; Ors. V. Municipal Corporation of Greater Mumbai; APPEAL FROM ORDER (ST) NO.4532 OF 2021, dealt with the issue of possession of land and its difference from ownership of the same. Plaintiffs are the owners of a certain land which had an open space. The plaintiff’s contention is that the open space is in the exclusive possession of the plaintiffs and is being used by them for parking of their vehicles, and for loading and unloading goods from the suit structures. It is stated that some portion of the open space was acquired for the widening of the Link road. If that be the case then the Plaintiffs should have placed on record the details of acquisition so as to enable the Plaintiffs to claim right, title and entitlement to the suit open space. This has admittedly not been done. The defendant’s contention is that the defendant corporation wanted to construct a public toilet on some portion of the open space. This notice was submitted to the plaintiffs. The plaintiffs have approached the Court by filing the original suit stating that the Corporation is constructing the toilet block without following due process of law. The learned counsel appearing for the plaintiffs, stated that the Corporation has not followed the due process of law and has not taken possession of the suit open space from the Plaintiffs as is required under the law. The exact place where the toilet block is to be constructed is completely uncertain and is not borne out by the record. The learned counsel appearing for the respondent stated that the said order does not confirm any right, title or interest in the land to the encroacher i.e., the plaintiffs. She submitted that the suit structures and the suit open space are not precisely and properly defined in the suit plaint and thus in the absence of specific details pertaining to the suit open space, the suit open space in relation to each Plaintiffs and the specific area of",4,Property / Real Estate Law,ilc
"One can submit an application for Lesser Penalty in any of the following manners: (a) By contacting the designated authority, i.e., Secretary seeking a Priority Status (also known as “ﬁrst contact”): i. in writing by sending registered post or by ﬁling personally in the Secretary's oﬃce; ii. through e-mail to secy@cci.gov.in; iii. through fax at 011-20815022; iv. orally through telephone at 011-20815009 or in person; (b) by ﬁling a formal Lesser Penalty application as per the Schedule to the LPR in writing or through e-mail or fax, as stated above.",3,Corporate / Company Law,milpac_cci
"A lease or rent agreement is an essential document that evidences the leasing or renting of an immovable property. All terms relating to such lease/rent including the time period for such lease and the purpose for which the property must be used, among other terms, must form a part of a rent agreement. Such an agreement serves the purpose of a reference document for all the parties involved. A lease or rent agreement must be drafted in an error free manner in order to protect the interests of both the parties. In case a dispute arises between the parties, this document would serve as a collaborative evidence of renting or the property and the conditions upon which it was rented.",4,Property / Real Estate Law,pdf
"Introduction: Trust is the main factor behind every successful business. In India, breach of trust is punishable under both the Civil and Criminal Code. The case of State of Maharashtra v. Syndicate Transport Company Pvt. Ltd, deals with the question as to whether a corporate body is liable for punishment of offence involving men’s rea. It also highlights the criminal liability for breach of trust and cheating under Section 406, 403 and Section 420 of the Indian Penal Code. Facts: Kmart motors received a letter requesting an advanced amount of Rs.11,000 for purchasing a diesel engine for the company by Mr Manohar (Opp. No. 2). The letter stated the said diesel engine shall be filled in company’s bus no. BYY-610 and then the bus be transferred in his name. The bus shall be run by the company on hire purchase agreement till the advance amount of Rs.11,000 is satisfied. However, after receiving the amount the engine was fitted to another bus and no transfer of bus took place. The Complainant filed a complaint against the company’s managing director, another Director and a shareholder under Section 420 and Section 406 or 403 of Indian Penal Code, on which the Magistrate passed a separate order charging its Managing Director Chinta, shareholder and Director Harinarayan under Section 420 of IPC and discharged their directors. Issue: Whether a company can be prosecuted for an offence involving men’s rea under IPC. Contentions raised: Mr Hardas on behalf of the complainant company opposed the said reference stating that Section 2 and 11 of IPC clearly states that under this Code every person shall be liable for punishment and “person” includes a corporate body. He further submitted that a corporate body is indictable for all offences including men’s rea on the grounds that the acts of authorised agents and servants can attribute to the company. Further, the offence of breach of trust or misappropriation of property by dishonest means does not mandatorily prescribe imprisonment, based on these facts the Magistrate should be allowed to proceed against the company. On the other hand, Mr Madholkar and Mandpe for Messrs. Contended that although the definition of “person” includes a body corporate, a company only acts on behalf of its agent making it incapable to commit certain offences punishable with imprisonment. Further, the qualifying clause of Section 2 states that unless otherwise in subject or context the corporate body may",6,Labour & Employment Law,ilc
"In order to enter into this agreement the copyright owner must have the copyright registered in his name and must have the relevant documents evidencing his title over the copyright in question. Other than this, the identity proofs of the parties can also be scrutinized before entering into the agreement.",7,Intellectual Property Law,pdf
A 'Notice to Produce' was served to compel the other party to bring documents to the hearing.,9,Civil Procedure / Other,original
"Yes, provided conﬁdentiality orders have not been already passed by the DG or the Commission on the conﬁdentiality claims previously made as per the past regime. Where conﬁdentiality claims previously made are pending and no orders thereon have been passed, parties may approach the Commission or the DG, as the case may be, to allow submission of information/documents/submissions as per the new regime on a self-certiﬁcation basis.",3,Corporate / Company Law,milpac_cci
"The assessee entered into a Joint Development Agreement with a real estate developer, granting an irrevocable license to construct a residential complex. The Assessing Officer contended that the execution of the JDA constituted a transfer under Section 2(47)(v) of the Income Tax Act. However, the Tribunal held that mere execution of the agreement without parting with the legal possession of the property does not trigger capital gains tax. Since the developer had not obtained the necessary municipal approvals, the transfer was not complete for the purposes of Section 45. The addition made by the AO was accordingly deleted.",8,Taxation Law,synthetic
"Under the purview of the provisional attachment of bank account, a government agency cannot extend the time beyond a legally established time period without a valid justification. This was decided in the High court of Bombay in the case of Goodmartric Export Pvt. Ltd and another v. Union of India and Ors. [Writ Petition No. 94899 of 2020] by two-judge bench consisting of Hon’ble Justices Ujjal Bhuyan and Milind N. Jadhav.J.J. The facts are such that a letter was sent to the general manager of the Kotak Mahindra Bank directing it to debit-freeze one bank account of the petitioner in this case. The first letter was issued by the Directorate of Revenue Intelligence, Kolkata Zonal Unit which was already investigating a case of the petitioner. This action was taken in response to the suspicious trade of import of precious and semi-precious stones from Kolkata. The directorate is one of the respondents here who exercised the power by virtue of the provisions of Customs Act, 1962. After this the directorate went on to freeze three other bank accounts of the petitioner in the year 2019. The fraudulent imports took place to evade additional tax charges because semi-precious stones do not come under the purview of customs act. This writ petition was filed questioning the legality of continuing a provisional attachment of bank beyond a period of one year. The contention posited by the directorate is that the petitioners have not cooperated In the course of investigation and have always been either unavailable or out of town when approached to the addresses. Moreover, they have not tried to prove the bona fides of their imports and due to this the directorate had to take this step. The main provision that is Sub-Section 5 of Section 10 of the aforementioned act was analyzed by the court for which it referred to the reasoning laid down In the case M/s Boxster Impex Pvt. Ltd. and Ors v. Union of India and Ors [WRIT PETITION (ST.) NO.5669 OF 2020]. It was held “by the tone and tenor of the sub-section, it is apparent that it is not a procedural provision per se; rather it is coercive in nature, though the procedure is also laid down for giving effect to the said provision. Being a coercive provision, there has to be strict compliance to the procedure laid down. In such a circumstances and having regard to",8,Taxation Law,ilc
"“One of the first principles of law with regard to the effect of an enabling act is that a legislature enables something to be done, it gives power at the same time by necessary implication to do everything which is indispensable for the purpose of carrying out the purpose in view.” New India Assurance Co., Ltd., had received notice in a proceeding before the Motor Accidents Claims Tribunal claiming compensation for the victim in an accident involving the vehicle bearing Registration No. TN-07-A5 6214 said to have been insured with it.The services of the Petitioner was engaged as ‘investigator’ by the Sixth Respondent to collect copies of the documents relating that accident and the vehicle involved from the concerned persons including the police authorities.The erstwhile practice followed had been that such investigators engaged by the insurers would collect copies of the required documents from the concerned persons and police authorities and submit their investigation report for enabling the insurers to effectively conduct the proceedings before the Motor Accident Claims TribunalISSUE BEFORE THE COURT:Whether the provisions of the Right to Information Act, 2005, could be invoked for obtaining documents from police authorities in connection with defending a claim for compensation before the Motor Accidents Claims Tribunal constituted under the Motor Vehicles Act, 1988?Whether an ‘investigator’ appointed by an insurer is empowered to correspond with public authorities and/or prosecute litigation relating to furnishing of documents in connection with an accident involving a vehicle said to be insured with that insurer?What is the legal remedy available to an insurer when documents required from police authorities in connection with an accident involving a vehicle said to be insured with it have not been furnished? RATIO OF THE COURT:The court held that it must also be recapitulated here that the liability of an insurer to meet a claim for compensation made by a third party arising out of an accident caused by use of a motor vehicle insured with it emanates from the Motor Vehicles Act, 1988, which law has also created the exclusive forum of Motor Accidents Claims Tribunal to adjudicate the same. In that statute, Chapter XI containing Sections 145 to 164 relates to ‘Insurance of Motor Vehicles against Third Party Risks’ and Chapter XII containing Sections 165 to 176 relates to ‘Claims Tribunal’. It could be inferred from Sections 158(6) and 160 of that enactment read with Rule 150 of the Central",9,Civil Procedure / Other,ilc
"A profit à prendre is the right to take something off another person's land, such as timber or gravel.",4,Property / Real Estate Law,original
"o However, the Power of Attorney also automatically stands cancelled or revoked in case of the death, insolvency or insanity of the executor in question or even the Attorney or in such cases wherein the primary purpose of the POA has been concluded.",9,Civil Procedure / Other,pdf
"The petitioner was taken into custody after committing an offense under section 30 of the Bihar Prohibition and Excise Act, 2016, “Penalty for unlawful manufacture, import, export, transport, possession, sale, purchase, distribution, etc. of any intoxicant or liquor”. This present petitioner is in connection with Manigachi PS Case No. 136 of 2020 dated 24.06.2020. In the high court of Judicature at Patna, this judgment was given by honorable Mr. Justice Ahsanuddin Amanullah on the 21st of August 2021 in the case of Shravan Roy @ Sharvan Rai and others versus the state of Bihar criminal miscellaneous No.17457 of 2021, Ms. Aprajita Represented as the advocate for the petitioner, and Ms. Pronoti Singh represented the state of Bihar as the additional Public Prosecutor, the proceedings of the court were held via video conference. The following are the facts of the case, the police in Bihar on prior information found out the petitioner and others were dealing with liquor, and hence they visited the spot and when the accused people saw the police approaching, they ran away leaving behind two motorcycles and one person was caught in the process and the police recovered liquor from the petitioner from various places including his hut. The counsel representing the petitioner held the recovery of the liquor was made about 500 meters away from his home and he was absent during the time the police sized the liquor the petitioner was elsewhere with his wife at the primary Health Centre, as his wife was giving birth and therefore the petitioner has no connection with regard to the recovered liquor, further, the counsel held that the co-accused, in this case, one Mr. Suraj Kumar Ray has been granted the anticipatory bail by the courts in the order passes on 25.06.2021 in Criminal Miscellaneous No. 17100 of 2021 The additional public prosecutor brought to light that this petition under Section 438 of the Code of Criminal Procedure, 1973 cannot be maintainable due to bar of Section 76(2) of the Bihar prohibition excise act, 2016, “Notwithstanding anything mentioned in Section-438 of Code of Criminal Procedure, 1973 shall apply in relation to any case involving the arrest of any person on an accusation of having committed an offense under this Act.” Since the recovery of the liquor was made in the premises of the petitioner which is his hut and therefore it is considered an offense under the Bihar",1,Criminal Law,ilc
"The appellate authority under the RTI (Right to Information) Act of the Securities and Exchange Board of India comprising of Mr. Anand Baiwar adjudicated in the matter of Pradeep Vidhani v CPIO, SEBI, Mumbai (Appeal No. 4298 of 2021) dealt with an issue in connection with the Right to Information Act, 2005. The appellant, Mr Pradeep Vidhani had filed an application via RTI MIS Portal on the 13th of April, 2021 under the Right to Information Act, 2005. The respondent responded to the application by a letter on the 11th of May, 2021, filed by the appellate. After receiving a letter from the respondent on 11th of May, 2021 on his application, the appellate decided to file an appeal on the 5th of June, 2021, which the Office of Appellate authority had received on the 7th of June. In his application, the appellate was seeking the following information with respect to GIC Housing Finance Limited (company): 7(A). Annual Accounts for the years 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, as submitted to the Department, along with all the information available with SEBI with respect to the company. The respondent in response to query numbers 7(A) and 8, informed that in terms of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, listed companies are required to file reports, statements, documents and any other information with the recognized stock exchange(s), where it has listed its specified securities. The respondent also provided the links of the websites of the exchanges, for accessing such information. The appellant filed the appeal on the grounds that he was aggrieved by the response provided by the respondent and submitted that it is not clear from the response whether the requested information is available with the respondent while also alleging that the respondent is trying to benefit the concerned party in some way or the other. For the queries, the appellate authority, Mr Anand Baiwar, made reference to the matter of Hon’ble CIC, in the matter of Shri K Lall vs. Shri M K Bagri (CIC/AT/A/2007/00112, order dated April 12, 2007) held that “….. unless an information is exclusively held and controlled by a public authority, that information cannot be said to be an information accessible under the RTI Act. Inferentially it would mean that once a certain information is placed in the public domain accessible to the citizens either freely, or on payment of a pre-determined price, that information",9,Civil Procedure / Other,ilc
A 'Tax Shelter' is a legal method of minimizing taxable income through investments or deductions.,8,Taxation Law,original
"A direction was issued to conclude the investigation and a report was submitted before the jurisdictional Court within a time-bound period. Such an opinion was held by The Hon’ble High Court of Calcutta before The Hon’ble Mr. Chief Justice Prakash Shrivastava and The Hon’ble Mr. Justice Rajarshi Bharadwaj in the matter of Dinesh Agarwal Vs. State of West Bengal &amp; Ors [MAT 863 of 2021 With IA CAN 1 2021]. The Writ petitioner questioned the correctness of the order passed by the Single Judge on 14.07.2021. It was found by the Single Judge that the dispute raised by the appellant was of civil nature. According to the submissions by the appellant, the police failed to justify the civil dispute and wrongly handed over the possession of the premises and goods kept therein to the private respondent. The counsel representing the respondents opposed the prayer and submitted that based upon factual controversy the appellant tries to set up the entire story and approached the required forum and establish it by way of evidence. It was reported that the official respondents had denied the plea of forcible dispossession by filing an affidavit in opposition and disclosing that 4 women including 2 senior citizens were locked in the premises in question and on receiving an intimation they were rescued. It appeared that each of the prayers was duly considered by the learned Single Judge and examining all the affidavits of the respondents, no conclusion was about to be drawn regarding the fact that the police personnel were guilty of latches and breaches as complained of by the petitioner. The Hon’ble Court considering all the facts stated that “The perusal of the order passed by the learned Single Judge reveals that the issues raised by the appellant have been duly considered and appropriate conclusions have been drawn. In this view of the matter, we do not find any informity or illegality in the order of the learned Single Judge. Hence, no case is made out to interfere in the order of the learned Single Judge. The appeal is found to be devoid of any merit which is accordingly dismissed.”",6,Labour & Employment Law,ilc
